path_from	path_to
SIG-T0001	SIG-T0003
SIG-T0002	SIG-T0016
SIG-T0003	SIG-T0021
SIG-T0004	
SIG-T0005	SIG-T0010
SIG-T0006	
SIG-T0007	SIG-T0008
SIG-T0008	
SIG-T0009	SIG-T0021
SIG-T0009	SIG-T0007 
SIG-T0010	
SIG-T0011	
SIG-T0012	
SIG-T0013	SIG-T0014
SIG-T0014	SIG-T0004
SIG-T0015	
SIG-T0016	SIG-T0006
SIG-T0017	SIG-T0019
SIG-T0018	SIG-T0022
SIG-T0019	SIG-T0021
SIG-T0020	SIG-T0006
SIG-T0021	SIG-T0005
SIG-T0021	SIG-T0015 
SIG-T0022	SIG-T0023
SIG-T0023	SIG-T0024
SIG-T0024	
SIG-T0025	SIG-T0026
SIG-T0026	
SIG-T0027	SIG-T0022
SIG-T0028	
SIG-T0029	SIG-T0014
SIG-T0030	
SIG-T0031	SIG-T0027
SIG-T0032	
SIG-T0033	SIG-T0026
