X	Y	Name	Author	Year	Topic
73	88	Tidyverse for archaeologists	Ben Marwick	2020	introduction to the tidyverse of R
168	9	Skriptsammlung Statistik für die Archäologie	Sophie C. Schmidt	2020	basic R introduction, plotting, statistical tests
82	28	The Open Digital Archaeology Textbook	Shawn Graham, Neha Gupta, Jolene Smith, Andreas Angourakis, Andrew Reinhard, Kate Ellenberger, Zack Batist, Joel Rivard, Ben Marwick, Michael Carter, Beth Compton, Rob Blades, Cristina Wood, & Gary Nobles	2018	introduction to various digital archaeology practices, including project management, database management, data cleaning, visualization, photogrammetry, 3D printing, NLP, among other things
158	76	3DHOP integration	Thomas Huet	2021	Web3d
37	41	Developing R Packages	Sophie C. Schmidt, Petr Pajdla, Clemens Schmid	2021	R package development
141	32	Rchaeology.eu	Georg Roth et al.	until 2012	statistical analysis
39	51	LaTeX for thesis writing	Sarah Lang	2021	latex, writing
29	98	LaTeX for Archaeologists: An archaeological catalogue using LaTeX	Sarah Lang	2021	latex, layout, writing
133	8	Quick guide to scholarly writing in Markdown with Atom	Ben Marwick	2019	writing, digital workflows
130	64	Learning to program: Debugging – Where to start?	Sarah Lang	2021	debugging software
86	24	How to maintain Twitter with little effort as an academic	Sarah Lang	2021	twitter, academic communications
4	36	Digitizing journal articles and grey literature reports	ADS		digital curation, archiving and preservation
17	76	Guides to Good Practice	ADS		digital curation, archiving and preservation
25	88	CIDOC-CRM Game	George Bruseker and Anais Guillem	2017-2018	CIDOC CRM
97	39	Processing Radiocarbon Data with R	Clemens Schmid, Martin Hinz	2018	radiocarbon data
76	58	Analyse und Visualisierung archäologischer Daten mit R	Dirk Seidensticker, Clemens Schmid	2016	visualisation
73	36	"Mosaic
Summer School 2016"	Franziska Faupel, Daniel Knitter	2016	spatial statistics
127	29	Statistical Methods for Archaeological Data Analysis (SMADA)	Martin Hinz	2021	basic statistics
8	18	Predictive Mapping in R	Martin Hinz	2019	predictive mapping
89	87	Video tutorials about R for archaeologists	Martin Hinz	2012-2019	basic statistics
106	93	How To Do Archaeological Science Using R	Ben Marwick	2017	statistical analysis, agent-based modelling, radiocarbon analysis, geospatial analysis
25	67	Tutorial on Classification in Archaeology: Distance Matrices, Clustering Methods and Validation	Sophie Schmidt, Sarah Martini, Robert Staniuk, Carole Quatrelive, Martin Hinz, Oliver Nakoinz, Michael Bilger, Romy Plath, Georg Roth, Julian Laabs	2022	classification and clustering methods
107	11	Computational Population Genetics	Stephan Schiffels	2019	basic population genetic analysis
67	78	2019 Workshop on Computational Population Genetics	Stephan Schiffels, Choongwon Jeong, Benjamin Peter	2019	basic and more advanced population genetics and archaeogenetics
28	67	A Step-by-Step Guide for Using Agent-Based Modeling in Archaeological Research	Iza Romanowska, Stefani Crabtree, Kathryn Harris, Benjamin Davies	2019	introduction to agent-based modeling with tutorials published as a special section in Advances in Archaeological Practice
129	32	Agent-Based Modeling for Archaeology] Simulating the Complexity of Societies	Iza Romanowska, Colin Wren, Stefani Crabtree	2021	introductory textbook on agent-based modeling
104	52	Analyzing archaeological data in R (stat4arch)	Petr Pajdla, Peter Tkáč	2020-2022	slides, syllabus etc. for an uni course on introductory R in archaeology
58	54	CRAN Task View: Archaeological Science	Ben Marwick		comprehensive list of R packages used in archaeology and list of articles, preferably with code and data included
43	95	Data organization in spreadsheets	Karl Broman	2017	guide on how to organize your data in spreadsheets
152	93	PyQGIS 101	Anita Graser	2018	PyQGIS introduction
102	8	"
Cow-culating your data with spreadsheets and R"	Paulina F. Przystupa; L. Meghan Dennis	2022	Basic data visualization using spreadsheets and R, how to explore bias in data, and creative ways to present data
136	42	Gabbing about Gabii: Going from Notes to Data to Narrative	L. Meghan Dennis, Paulina F. Przystupa	2022	Turning site forms into usable and filterable tables; how to turn those data into narratives using different narrative lenses
118	38	RGBCatastrophe: A Netlogo tool for teaching, learning, and thinking about complexity	Andre Costopoulos	2022	
